protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
stp2,stp1,286,ohnologue,1229,2950,3466,217,2139,2564,86,5127,3344,565,2523,1546,85,192,55,18,97,25,2,10,22,0,10,19,0,32,9,0,19,6,0,1075,493,0,720,399,0,36,12,6,20,3,0,3,2,0,0,0,0,94,50,0,65,42,0,3218,1381,8,2625,1240,8
pdr3,pdr1,271,ohnologue,2384,6203,15184,2808,4099,7488,1042,7025,12614,2026,3611,5068,254,122,196,12,71,98,1,15,68,5,13,45,3,45,81,3,39,59,1,1889,4906,279,1529,3203,121,25,37,3,18,21,0,5,9,1,3,3,0,81,218,9,62,118,7,2628,7015,273,2289,5428,204
rph1,gis1,249,ohnologue,813,1447,1067,17,1072,909,7,3644,4613,140,2070,2509,24,160,395,12,82,178,1,8,7,0,6,7,0,18,16,3,15,14,1,327,405,17,206,357,7,37,64,4,22,31,0,2,2,0,0,1,0,43,77,0,25,61,0,1525,2230,1,1217,2056,1
sut1,sut2,246,ohnologue,585,1909,168,58,1452,134,13,6525,3397,809,3214,1913,136,548,728,154,210,262,13,13,1,1,10,1,1,138,0,0,108,0,0,880,0,0,701,0,0,90,91,37,48,28,6,7,0,0,3,0,0,141,43,0,91,33,0,4168,1275,14,3470,1136,11
fkh2,fkh1,243,ohnologue,1485,4076,4615,485,2530,2926,173,9581,4694,617,4399,2165,65,540,84,13,213,50,2,13,10,3,11,5,2,85,13,2,53,8,0,2058,1175,162,1468,847,47,61,9,3,31,2,0,8,3,1,3,1,0,197,62,10,106,42,7,6078,1980,252,4636,1629,198
tos4,plm2,239,ohnologue,387,211,287,0,200,240,0,2875,1002,37,1851,733,22,1722,143,70,552,82,4,0,2,0,0,2,0,45,0,0,25,0,0,148,0,0,139,0,0,143,15,11,50,7,1,3,0,0,1,0,0,119,40,0,95,31,0,3795,1173,8,3406,1017,8
mig2,mig3,224,ohnologue,1976,547,15120,204,453,6750,73,3082,17984,661,1938,6633,81,240,531,49,103,227,5,0,48,0,0,30,0,1,259,0,1,169,0,41,5585,0,41,3152,0,55,70,15,27,31,2,1,18,0,1,3,0,28,376,1,27,188,1,989,11649,52,910,8826,52
hal9,tbs1,204,ohnologue,375,773,84,20,605,71,10,2512,801,85,1337,477,16,193,125,12,68,59,0,1,0,0,1,0,0,18,0,0,18,0,0,199,0,0,199,0,0,31,20,4,10,10,0,2,0,0,2,0,0,40,9,0,28,6,0,1228,219,0,1058,209,0
swi5,ace2,204,ohnologue,6715,20488,127030,16626,7700,19544,1583,20065,34535,9737,5874,7274,1034,349,220,84,134,103,13,55,370,47,29,151,10,68,181,14,28,87,1,4264,31852,1639,1329,7749,220,51,40,16,23,20,4,6,22,1,1,2,0,335,844,37,167,352,6,10667,25791,1443,7744,17010,851
msn2,msn4,192,ohnologue,5940,61134,27337,21606,13648,9293,3204,62413,39693,19099,12244,10304,1676,1406,859,204,456,291,22,215,69,42,104,36,18,858,292,60,355,107,5,32288,13753,6725,9785,5428,780,128,109,34,59,49,7,45,18,1,3,0,0,1377,595,58,505,258,11,40876,18450,2505,26626,12924,1291
cup9,tos8,178,ohnologue,1444,4258,993,40,2413,883,17,18649,4515,661,6212,2287,112,1089,581,320,328,205,48,8,2,0,8,2,0,174,7,0,96,4,0,2075,60,0,1166,53,0,130,98,62,56,48,17,7,1,0,1,0,0,172,84,0,82,71,0,5489,2822,36,4199,2542,34
aca1,cst6,155,ohnologue,2981,294,34593,51,205,9610,24,4458,29584,1391,2552,7601,103,616,289,86,292,107,5,1,77,0,1,40,0,0,135,0,0,70,0,0,13187,0,0,4595,0,95,39,17,54,13,4,0,13,0,0,1,0,23,366,0,16,161,0,779,11322,0,652,7754,0
yap5,yap7,151,ohnologue,1542,4541,1850,31,2758,1200,12,9875,2074,203,4557,1285,22,450,31,5,200,26,0,15,2,0,11,2,0,65,0,0,42,0,0,1071,0,0,777,0,0,72,8,2,41,8,0,4,0,0,1,0,0,144,26,0,90,21,0,4545,777,3,3737,686,3
phd1,sok2,137,ohnologue,3020,7645,43954,4094,4993,13778,627,18605,31425,6716,6539,8599,798,1498,676,329,366,264,32,69,182,45,60,93,19,476,485,124,235,252,21,4799,20630,2029,3253,8297,423,186,82,51,58,40,10,18,32,1,5,4,0,585,845,48,306,358,14,17577,25526,1985,13612,17393,1191
yap6,cin5,134,ohnologue,3156,10492,30308,4068,5801,11103,686,17377,25983,5886,7415,7367,919,783,471,199,310,194,30,79,116,38,58,59,13,308,239,59,247,136,17,4187,11998,1163,3285,4665,298,125,92,50,62,43,17,12,15,1,7,5,1,421,526,30,237,263,19,13137,16154,1140,9990,11823,947
smp1,rlm1,127,ohnologue,991,602,1679,10,465,1298,6,3762,9316,606,2293,4277,104,477,521,152,172,215,14,2,4,0,1,4,0,17,42,0,14,33,0,154,675,0,131,497,0,83,70,36,36,30,3,2,3,0,1,2,0,80,78,0,63,65,0,2457,2568,2,2067,2365,2
eds1,rgt1,126,ohnologue,629,75,1324,5,75,781,3,1270,5323,145,783,2253,19,192,224,45,103,58,2,0,9,0,0,5,0,0,17,0,0,5,0,0,301,0,0,113,0,34,48,15,22,12,2,0,1,0,0,0,0,17,52,0,17,21,0,498,1711,18,497,1205,18
wtm1,wtm2,597,paralogue,353,136,207,0,110,149,0,3350,4087,209,1981,2322,39,1318,1047,393,410,336,43,0,1,0,0,1,0,32,51,0,30,31,0,107,104,0,95,68,0,141,123,53,77,47,11,3,2,0,2,0,0,50,45,0,33,30,0,1365,1316,2,1093,1116,2
wtm2,ume1,336,ohnologue,170,207,0,0,149,0,0,4087,7,0,2322,4,0,1047,234,50,336,125,5,1,0,0,1,0,0,51,0,0,31,0,0,104,0,0,68,0,0,123,27,6,47,16,1,2,0,0,0,0,0,45,0,0,30,0,0,1316,0,0,1116,0,0
yrm1,yrr1,378,paralogue,3309,34929,2460,713,13830,1794,184,10789,5769,1331,3540,3265,200,55,210,15,26,114,0,97,10,3,55,8,0,19,36,0,16,33,0,3134,1154,0,2438,1084,0,12,42,5,5,25,0,4,4,1,1,2,1,149,71,8,77,49,8,4769,2299,352,3493,2000,347
yrr1,pdr8,131,ohnologue,768,2460,64,0,1794,43,0,5769,581,84,3265,370,34,210,145,31,114,68,10,10,0,0,8,0,0,36,0,0,33,0,0,1154,0,0,1084,0,0,42,27,8,25,14,4,4,0,0,2,0,0,71,19,0,49,11,0,2299,439,1,2000,318,1
pdr8,yrr1,131,ohnologue,768,64,2460,0,43,1794,0,581,5769,84,370,3265,34,145,210,31,68,114,10,0,10,0,0,8,0,0,36,0,0,33,0,0,1154,0,0,1084,0,27,42,8,14,25,4,0,4,0,0,2,0,19,71,0,11,49,0,439,2299,1,318,2000,1
mal13,mal33,702,paralogue,706,111,4063,15,108,2884,6,600,7257,109,367,3521,10,154,332,45,51,138,4,1,16,0,1,12,0,11,22,0,7,16,0,41,868,0,39,648,0,30,47,15,10,19,1,2,3,0,1,1,0,25,160,0,23,113,0,719,5278,6,692,4444,6
isw1,isw2,471,paralogue,1634,1083,7119,336,872,3983,174,2851,14155,868,1384,5666,101,116,279,19,61,128,5,2,16,0,2,13,0,10,56,0,6,35,0,275,2273,0,183,1465,0,21,39,5,13,20,2,2,5,0,0,0,0,27,101,0,21,56,0,1098,3208,8,970,2502,8
gat4,gat3,351,paralogue,652,534,1082,112,461,818,94,2404,3433,511,1340,1863,194,185,135,42,63,72,4,3,2,1,3,2,1,5,7,5,5,7,5,168,215,71,168,215,71,40,25,12,19,13,1,1,1,0,1,1,0,28,39,0,21,26,0,959,1150,0,848,1008,0
mcm1,arg80,200,paralogue,2063,20709,1663,449,9091,1252,113,16167,5490,510,6536,2942,103,240,486,21,134,182,7,84,5,1,52,4,1,89,49,0,59,25,0,6345,368,0,3503,243,0,24,59,2,14,22,1,10,4,0,1,0,0,305,127,0,171,87,0,9175,4039,13,6943,3417,13
hst3,hst4,183,paralogue,287,42,169,0,35,144,0,1867,991,18,1085,705,4,336,161,41,134,80,5,0,1,0,0,1,0,11,10,0,11,10,0,7,45,0,7,45,0,48,38,14,20,17,2,1,1,0,1,1,0,3,32,0,3,22,0,274,795,0,259,719,0
hat2,msi1,154,paralogue,724,1408,607,13,1144,466,8,4276,1508,92,2377,1001,15,145,84,14,61,51,1,5,2,0,4,2,0,11,0,0,8,0,0,161,0,0,117,0,0,28,10,5,10,6,1,1,0,0,0,0,0,32,26,0,25,20,0,1037,855,0,916,765,0
gln3,gat1,101,paralogue,1222,7302,356,47,4093,285,41,8968,3462,434,3801,2128,55,130,791,36,50,286,0,34,0,0,20,0,0,29,57,0,24,52,0,2012,192,0,1814,188,0,20,107,10,5,47,0,4,4,0,3,3,0,121,68,0,67,50,0,3729,2046,25,2800,1776,25
