protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
stp2,stp1,286,ohnologue,1229,2950,3466,217,2783,3202,177,5127,3344,565,3335,2393,225,192,55,18,106,42,4,10,22,0,10,22,0,32,9,0,29,9,0,1075,493,0,1063,493,0,36,12,6,20,8,3,3,2,0,1,2,0,94,50,0,84,49,0,3218,1381,8,3198,1379,8
pdr3,pdr1,271,ohnologue,2384,6203,15184,2808,5506,10145,1925,7025,12614,2026,4779,5796,502,122,196,12,91,110,1,15,68,5,15,56,5,45,81,3,45,67,3,1889,4906,279,1886,4261,278,25,37,3,19,20,2,5,9,1,4,4,1,81,218,9,74,168,9,2628,7015,273,2614,6720,273
rph1,gis1,249,ohnologue,813,1447,1067,17,1395,1064,17,3644,4613,140,2833,3669,70,160,395,12,102,208,0,8,7,0,8,7,0,18,16,3,18,16,3,327,405,17,327,405,17,37,64,4,23,39,0,2,2,0,2,2,0,43,77,0,41,76,0,1525,2230,1,1525,2229,1
sut1,sut2,246,ohnologue,585,1909,168,58,1854,167,39,6525,3397,809,4433,2679,301,548,728,154,294,339,32,13,1,1,13,1,1,138,0,0,128,0,0,880,0,0,875,0,0,90,91,37,56,39,12,7,0,0,5,0,0,141,43,0,132,43,0,4168,1275,14,4155,1275,14
fkh2,fkh1,243,ohnologue,1485,4076,4615,485,3945,4340,415,9581,4694,617,6198,3063,192,540,84,13,281,69,2,13,10,3,13,10,3,85,13,2,85,13,2,2058,1175,162,2053,1171,158,61,9,3,39,6,0,8,3,1,6,2,1,197,62,10,189,62,10,6078,1980,252,6065,1978,252
tos4,plm2,239,ohnologue,387,211,287,0,211,287,0,2875,1002,37,2754,978,37,1722,143,70,658,113,10,0,2,0,0,2,0,45,0,0,45,0,0,148,0,0,148,0,0,143,15,11,73,9,5,3,0,0,3,0,0,119,40,0,119,40,0,3795,1173,8,3795,1173,8
mig2,mig3,224,ohnologue,1976,547,15120,204,545,9945,162,3082,17984,661,2717,8003,130,240,531,49,164,304,11,0,48,0,0,40,0,1,259,0,1,203,0,41,5585,0,41,4742,0,55,70,15,40,44,5,1,18,0,1,7,0,28,376,1,28,305,1,989,11649,52,989,11246,52
hal9,tbs1,204,ohnologue,375,773,84,20,767,84,19,2512,801,85,2080,727,31,193,125,12,112,91,1,1,0,0,1,0,0,18,0,0,18,0,0,199,0,0,199,0,0,31,20,4,16,9,1,2,0,0,2,0,0,40,9,0,40,9,0,1228,219,0,1228,219,0
swi5,ace2,204,ohnologue,6715,20488,127030,16626,10455,20033,1938,20065,34535,9737,7926,8929,2192,349,220,84,219,147,44,55,370,47,47,199,20,68,181,14,53,127,6,4264,31852,1639,2219,8302,266,51,40,16,36,30,13,6,22,1,2,2,0,335,844,37,266,540,18,10667,25791,1443,10232,23277,1298
msn2,msn4,192,ohnologue,5940,61134,27337,21606,15533,11090,5586,62413,39693,19099,12152,11731,2454,1406,859,204,506,358,34,215,69,42,135,48,29,858,292,60,445,163,17,32288,13753,6725,10382,6473,1072,128,109,34,75,66,14,45,18,1,2,1,0,1377,595,58,623,351,5,40876,18450,2505,34412,16568,1623
cup9,tos8,178,ohnologue,1444,4258,993,40,3587,986,27,18649,4515,661,7086,3604,166,1089,581,320,457,328,77,8,2,0,8,2,0,174,7,0,138,7,0,2075,60,0,1911,60,0,130,98,62,75,67,28,7,1,0,3,1,0,172,84,0,136,84,0,5489,2822,36,5323,2822,36
aca1,cst6,155,ohnologue,2981,294,34593,51,294,11144,7,4458,29584,1391,3535,8657,189,616,289,86,335,130,14,1,77,0,1,57,0,0,135,0,0,102,0,0,13187,0,0,6286,0,95,39,17,63,19,4,0,13,0,0,1,0,23,366,0,23,230,0,779,11322,0,779,10331,0
yap5,yap7,151,ohnologue,1542,4541,1850,31,4048,1804,24,9875,2074,203,5888,1721,21,450,31,5,269,29,0,15,2,0,14,2,0,65,0,0,53,0,0,1071,0,0,910,0,0,72,8,2,47,7,0,4,0,0,2,0,0,144,26,0,124,26,0,4545,777,3,4425,777,3
phd1,sok2,137,ohnologue,3020,7645,43954,4094,6861,19117,734,18605,31425,6716,8129,10721,1587,1498,676,329,492,371,78,69,182,45,69,135,31,476,485,124,341,344,63,4799,20630,2029,4543,11395,744,186,82,51,87,50,20,18,32,1,4,10,0,585,845,48,461,548,25,17577,25526,1985,17022,23346,1869
yap6,cin5,134,ohnologue,3156,10492,30308,4068,8476,14643,1053,17377,25983,5886,8948,8069,1576,783,471,199,360,240,61,79,116,38,78,84,22,308,239,59,254,165,38,4187,11998,1163,3824,5465,511,125,92,50,78,54,23,12,15,1,1,2,0,421,526,30,323,360,20,13137,16154,1140,12718,14774,1094
smp1,rlm1,127,ohnologue,991,602,1679,10,599,1589,10,3762,9316,606,3249,5683,243,477,521,152,223,278,29,2,4,0,2,4,0,17,42,0,17,34,0,154,675,0,154,658,0,83,70,36,45,40,8,2,3,0,2,1,0,80,78,0,80,69,0,2457,2568,2,2457,2541,2
eds1,rgt1,126,ohnologue,629,75,1324,5,75,1216,3,1270,5323,145,1155,3343,28,192,224,45,121,98,5,0,9,0,0,9,0,0,17,0,0,12,0,0,301,0,0,292,0,34,48,15,21,23,4,0,1,0,0,0,0,17,52,0,17,40,0,498,1711,18,498,1675,18
wtm1,wtm2,597,paralogue,353,136,207,0,136,205,0,3350,4087,209,2791,3404,98,1318,1047,393,482,441,88,0,1,0,0,1,0,32,51,0,32,49,0,107,104,0,107,104,0,141,123,53,94,71,24,3,2,0,3,1,0,50,45,0,50,45,0,1365,1316,2,1365,1316,2
wtm2,ume1,336,ohnologue,170,207,0,0,205,0,0,4087,7,0,3404,7,0,1047,234,50,441,150,7,1,0,0,1,0,0,51,0,0,49,0,0,104,0,0,104,0,0,123,27,6,71,19,1,2,0,0,1,0,0,45,0,0,45,0,0,1316,0,0,1316,0,0
yrm1,yrr1,378,paralogue,3309,34929,2460,713,16302,2303,309,10789,5769,1331,4280,4060,366,55,210,15,39,117,1,97,10,3,74,10,3,19,36,0,18,36,0,3134,1154,0,2913,1153,0,12,42,5,9,25,2,4,4,1,2,3,1,149,71,8,113,65,8,4769,2299,352,4538,2290,352
yrr1,pdr8,131,ohnologue,768,2460,64,0,2303,64,0,5769,581,84,4060,539,36,210,145,31,117,98,17,10,0,0,10,0,0,36,0,0,36,0,0,1154,0,0,1153,0,0,42,27,8,25,15,4,4,0,0,3,0,0,71,19,0,65,19,0,2299,439,1,2290,439,1
pdr8,yrr1,131,ohnologue,768,64,2460,0,64,2303,0,581,5769,84,539,4060,36,145,210,31,98,117,17,0,10,0,0,10,0,0,36,0,0,36,0,0,1154,0,0,1153,0,27,42,8,15,25,4,0,4,0,0,3,0,19,71,0,19,65,0,439,2299,1,439,2290,1
mal13,mal33,702,paralogue,706,111,4063,15,111,3752,5,600,7257,109,558,4865,25,154,332,45,91,185,6,1,16,0,1,16,0,11,22,0,11,22,0,41,868,0,41,867,0,30,47,15,15,24,4,2,3,0,2,1,0,25,160,0,25,142,0,719,5278,6,719,5173,6
isw1,isw2,471,paralogue,1634,1083,7119,336,1081,5636,236,2851,14155,868,1990,5969,88,116,279,19,73,153,5,2,16,0,2,16,0,10,56,0,10,51,0,275,2273,0,275,2240,0,21,39,5,11,22,2,2,5,0,2,1,0,27,101,0,27,86,0,1098,3208,8,1098,3079,8
gat4,gat3,351,paralogue,652,534,1082,112,534,1059,110,2404,3433,511,2184,2607,340,185,135,42,101,85,16,3,2,1,3,2,1,5,7,5,5,7,5,168,215,71,168,215,71,40,25,12,20,13,4,1,1,0,1,1,0,28,39,0,28,39,0,959,1150,0,959,1150,0
mcm1,arg80,200,paralogue,2063,20709,1663,449,11184,1619,110,16167,5490,510,8436,3950,228,240,486,21,182,266,15,84,5,1,74,5,1,89,49,0,82,42,0,6345,368,0,4998,351,0,24,59,2,22,29,2,10,4,0,3,3,0,305,127,0,244,116,0,9175,4039,13,8953,3983,13
hst3,hst4,183,paralogue,287,42,169,0,42,169,0,1867,991,18,1683,910,5,336,161,41,190,106,10,0,1,0,0,1,0,11,10,0,11,10,0,7,45,0,7,45,0,48,38,14,27,26,5,1,1,0,1,1,0,3,32,0,3,32,0,274,795,0,274,795,0
hat2,msi1,154,paralogue,724,1408,607,13,1396,604,13,4276,1508,92,3179,1344,21,145,84,14,92,56,2,5,2,0,5,2,0,11,0,0,11,0,0,161,0,0,161,0,0,28,10,5,16,5,1,1,0,0,1,0,0,32,26,0,32,26,0,1037,855,0,1037,855,0
gln3,gat1,101,paralogue,1222,7302,356,47,5732,356,46,8968,3462,434,4798,2994,109,130,791,36,78,341,0,34,0,0,31,0,0,29,57,0,25,57,0,2012,192,0,1882,192,0,20,107,10,11,51,0,4,4,0,1,4,0,121,68,0,103,68,0,3729,2046,25,3636,2046,25
