protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
yap6,cin5,134,ohnologue,3156,10492,30308,4068,174,106,5,17377,25983,5886,93,167,3,783,471,199,1,1,0,79,116,38,3,4,0,308,239,59,1,6,0,4187,11998,1163,112,94,1,125,92,50,3,0,0,12,15,1,0,0,0,421,526,30,3,7,0,13137,16154,1140,1291,1730,33
smp1,rlm1,127,ohnologue,991,602,1679,10,258,98,0,3762,9316,606,133,155,1,477,521,152,4,4,0,2,4,0,2,0,0,17,42,0,11,4,0,154,675,0,143,56,0,83,70,36,2,3,1,2,3,0,0,0,0,80,78,0,12,2,0,2457,2568,2,1166,601,1
eds1,rgt1,126,ohnologue,629,75,1324,5,27,103,0,1270,5323,145,107,39,0,192,224,45,3,0,0,0,9,0,0,2,0,0,17,0,0,0,0,0,301,0,0,1,0,34,48,15,2,0,0,0,1,0,0,0,0,17,52,0,3,3,0,498,1711,18,280,363,17
wtm1,wtm2,597,paralogue,353,136,207,0,92,50,0,3350,4087,209,241,242,3,1318,1047,393,3,7,0,0,1,0,0,1,0,32,51,0,8,11,0,107,104,0,90,20,0,141,123,53,2,5,1,3,2,0,0,0,0,50,45,0,19,6,0,1365,1316,2,944,443,2
wtm2,ume1,336,ohnologue,170,207,0,0,50,0,0,4087,7,0,242,7,0,1047,234,50,7,5,0,1,0,0,1,0,0,51,0,0,11,0,0,104,0,0,20,0,0,123,27,6,5,1,0,2,0,0,0,0,0,45,0,0,6,0,0,1316,0,0,443,0,0
yrm1,yrr1,378,paralogue,3309,34929,2460,713,127,292,2,10789,5769,1331,331,155,0,55,210,15,2,4,0,97,10,3,1,4,0,19,36,0,2,7,0,3134,1154,0,329,399,0,12,42,5,1,2,0,4,4,1,0,0,0,149,71,8,10,5,0,4769,2299,352,1012,546,108
yrr1,pdr8,131,ohnologue,768,2460,64,0,292,47,0,5769,581,84,155,88,4,210,145,31,4,6,1,10,0,0,4,0,0,36,0,0,7,0,0,1154,0,0,399,0,0,42,27,8,2,4,2,4,0,0,0,0,0,71,19,0,5,12,0,2299,439,1,546,369,1
pdr8,yrr1,131,ohnologue,768,64,2460,0,47,292,0,581,5769,84,88,155,4,145,210,31,6,4,1,0,10,0,0,4,0,0,36,0,0,7,0,0,1154,0,0,399,0,27,42,8,4,2,2,0,4,0,0,0,0,19,71,0,12,5,0,439,2299,1,369,546,1
mal13,mal33,702,paralogue,706,111,4063,15,83,267,1,600,7257,109,83,142,0,154,332,45,2,4,0,1,16,0,1,1,0,11,22,0,7,4,0,41,868,0,36,84,0,30,47,15,0,3,0,2,3,0,1,0,0,25,160,0,9,16,0,719,5278,6,539,1487,6
isw1,isw2,471,paralogue,1634,1083,7119,336,84,58,2,2851,14155,868,83,99,0,116,279,19,3,5,0,2,16,0,1,1,0,10,56,0,6,1,0,275,2273,0,25,30,0,21,39,5,3,0,0,2,5,0,1,0,0,27,101,0,8,5,0,1098,3208,8,431,627,4
gat4,gat3,351,paralogue,652,534,1082,112,126,83,0,2404,3433,511,77,131,3,185,135,42,2,5,0,3,2,1,2,0,0,5,7,5,0,1,0,168,215,71,102,31,2,40,25,12,1,0,0,1,1,0,0,0,0,28,39,0,5,5,0,959,1150,0,448,431,0
mcm1,arg80,200,paralogue,2063,20709,1663,449,89,231,0,16167,5490,510,134,310,5,240,486,21,5,12,0,84,5,1,0,2,0,89,49,0,9,10,0,6345,368,0,138,106,0,24,59,2,1,6,0,10,4,0,0,0,0,305,127,0,4,14,0,9175,4039,13,1109,1330,0
hst3,hst4,183,paralogue,287,42,169,0,32,95,0,1867,991,18,69,168,0,336,161,41,4,4,0,0,1,0,0,1,0,11,10,0,6,0,0,7,45,0,7,35,0,48,38,14,1,1,0,1,1,0,0,0,0,3,32,0,1,13,0,274,795,0,251,478,0
hat2,msi1,154,paralogue,724,1408,607,13,88,162,0,4276,1508,92,68,157,0,145,84,14,4,1,0,5,2,0,1,2,0,11,0,0,0,0,0,161,0,0,28,0,0,28,10,5,1,0,0,1,0,0,0,0,0,32,26,0,5,7,0,1037,855,0,406,483,0
gln3,gat1,101,paralogue,1222,7302,356,47,101,218,10,8968,3462,434,103,222,0,130,791,36,1,4,0,34,0,0,4,0,0,29,57,0,0,20,0,2012,192,0,49,141,0,20,107,10,0,2,0,4,4,0,0,0,0,121,68,0,6,24,0,3729,2046,25,724,1098,15
